Año,Trimestre,Provincia,-30 Mbps,+ 30 Mbps,OTROS,Total,Fecha
2017,1,Entre Ríos,180101,317,0,180418,2017-01-01
2017,1,Formosa,29685,22,0,29707,2017-01-01
2017,1,Jujuy,43203,0,0,43203,2017-01-01
2017,1,La Pampa,68068,11,0,68079,2017-01-01
2017,1,La Rioja,16222,2,0,16224,2017-01-01
2017,1,Mendoza,177463,22,0,177485,2017-01-01
2017,1,Misiones,97455,166,0,97621,2017-01-01
2017,1,Neuquén,107033,458,0,107491,2017-01-01
2017,1,Río Negro,104833,200,0,105033,2017-01-01
2017,1,Salta,107569,74,0,107643,2017-01-01
2017,1,San Juan,58788,4,0,58792,2017-01-01
2017,1,San Luis,14027,2,0,14029,2017-01-01
2017,1,Santa Cruz,31863,0,0,31863,2017-01-01
2017,1,Santa Fe,560782,1831,0,562613,2017-01-01
2017,1,Santiago Del Estero,34478,0,0,34478,2017-01-01
2017,1,Tierra Del Fuego,35710,0,0,35710,2017-01-01
2017,1,Tucumán,152737,13,0,152750,2017-01-01
2016,4,Buenos Aires,3121262,17279,0,3138541,2016-10-01
2016,4,Capital Federal,1250129,16756,0,1266885,2016-10-01
2016,4,Catamarca,27032,0,0,27032,2016-10-01
2016,4,Chaco,88604,250,0,88854,2016-10-01
2016,4,Chubut,80197,0,0,80197,2016-10-01
2016,4,Córdoba,635867,1606,0,637473,2016-10-01
2016,4,Corrientes,87859,234,0,88093,2016-10-01
2016,4,Entre Ríos,180030,280,0,180310,2016-10-01
2016,4,Formosa,29501,17,0,29518,2016-10-01
2016,4,Jujuy,42626,0,0,42626,2016-10-01
2016,4,La Pampa,67334,11,0,67345,2016-10-01
2016,4,La Rioja,16312,3,0,16315,2016-10-01
2016,4,Mendoza,177457,20,0,177477,2016-10-01
2016,4,Misiones,97266,126,0,97392,2016-10-01
2016,4,Neuquén,105822,271,0,106093,2016-10-01
2016,4,Río Negro,104657,122,0,104779,2016-10-01
2016,4,Salta,106877,70,0,106947,2016-10-01
2016,4,San Juan,58836,4,0,58840,2016-10-01
2016,4,San Luis,14027,2,0,14029,2016-10-01
2016,4,Santa Cruz,32013,0,0,32013,2016-10-01
2016,4,Santa Fe,560013,1529,0,561542,2016-10-01
2016,4,Santiago Del Estero,35054,0,0,35054,2016-10-01
2016,4,Tierra Del Fuego,35710,0,0,35710,2016-10-01
